Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	Number	Freq	Is Cancer Gene (source: OncoKB)
USP46		4q12	HOMDEL	2	1144	0.2%	No
LINC00313		21q22.3	HOMDEL	2	1144	0.2%	No
BEX4		Xq22.1	AMP	9	1144	0.8%	No
MTMR7		8p22	HOMDEL	45	1144	3.9%	No
LINC00111		21q22.3	HOMDEL	6	1144	0.5%	No
CCM2L		20q11.21	AMP	34	1144	3.0%	No
ADARB1		21q22.3	AMP	5	1144	0.4%	No
CD99P1		Xp22.33 and Yp11.31	AMP	5	1144	0.4%	No
LINC00616		4q28.3	HOMDEL	7	1144	0.6%	No
NEBL-AS1		10p12.31	AMP	5	1144	0.4%	No
TMEM45A		3q12.2	AMP	35	1144	3.1%	No
NUDCD3		7p13	HOMDEL	3	1144	0.3%	No
NBAS		2p24.3	HOMDEL	2	1144	0.2%	No
KCTD15		19q13.11	AMP	56	1144	4.9%	No
PFDN6		6p21.32	AMP	9	1144	0.8%	No
LINC01189		9q13	AMP	7	1144	0.6%	No
HEXB		5q13.3	HOMDEL	7	1144	0.6%	No
IFITM1		11p15.5	HOMDEL	7	1144	0.6%	No
SH3GL2		9p22.2	HOMDEL	20	1144	1.7%	No
SLC35F6		2p23.3	AMP	7	1144	0.6%	No
CUTALP		9q33.2	AMP	1	1144	<0.1%	No
MIR2052HG		8q21.11-q21.13	HOMDEL	1	1144	<0.1%	No
SPATA16		3q26.31	AMP	205	1144	17.9%	No
RTP2		3q27.3	AMP	175	1144	15.3%	No
SSX7		Xp11.22	AMP	4	1144	0.3%	No
H4C11		6p22.1	HOMDEL	2	1144	0.2%	No
ADARB2		10p15.3	AMP	5	1144	0.4%	No
ABCA17P		16p13.3	HOMDEL	2	1144	0.2%	No
CHD5		1p36.31	HOMDEL	6	1144	0.5%	No
SBDS		7q11.21	AMP	14	1144	1.2%	Yes
LINC00639		14q21.1	HOMDEL	4	1144	0.3%	No
CSRNP3		2q24.3	AMP	8	1144	0.7%	No
SECISBP2		9q22.2	AMP	1	1144	<0.1%	No
UACA		15q23	AMP	5	1144	0.4%	No
LRRC47		1p36.32	AMP	10	1144	0.9%	No
ATP2A1-AS1		16p11.2	AMP	9	1144	0.8%	No
ZBTB18		1q44	AMP	47	1144	4.1%	No
C12ORF56		12q14.2	AMP	29	1144	2.5%	No
PPIAL4G		1q21.2	HOMDEL	1	1144	<0.1%	No
OR8G2P		11q24.2	HOMDEL	10	1144	0.9%	No
COL4A5		Xq22.3	HOMDEL	17	1144	1.5%	No
CCDC153		11q23.3	AMP	6	1144	0.5%	No
CELA3A		1p36.12	HOMDEL	2	1144	0.2%	No
GPR146		7p22.3	HOMDEL	3	1144	0.3%	No
SAMD10		20q13.33	AMP	36	1144	3.1%	No
SLC25A17		22q13.2	AMP	2	1144	0.2%	No
NARF		17q25.3	HOMDEL	5	1144	0.4%	No
DDX39A		19p13.12	AMP	7	1144	0.6%	No
OR7D2		19p13.2	HOMDEL	4	1144	0.3%	No
SCGN		6p22.2	HOMDEL	1	1144	<0.1%	No
KNTC1		12q24.31	AMP	1	1144	<0.1%	No
ATP5MK		10q24.33	AMP	2	1144	0.2%	No
DNASE2		19p13.13	HOMDEL	5	1144	0.4%	No
TMTC2		12q21.31	HOMDEL	1	1144	<0.1%	No
DLGAP2		8p23.3	HOMDEL	60	1144	5.2%	No
RABL6		9q34.3	HOMDEL	4	1144	0.3%	No
RHBDF2		17q25.1	HOMDEL	1	1144	<0.1%	No
POMP		13q12.3	AMP	3	1144	0.3%	No
LRTM2		12p13.33	AMP	28	1144	2.4%	No
INSL3		19p13.11	AMP	6	1144	0.5%	No
FAM106A		17p11.2	AMP	6	1144	0.5%	No
BCAS1		20q13.2	AMP	28	1144	2.4%	No
ADAM30		1p12	HOMDEL	16	1144	1.4%	No
SLC9A6		Xq26.3	AMP	12	1144	1.0%	No
OR51A7		11p15.4	HOMDEL	4	1144	0.3%	No
PSMD14		2q24.2	AMP	6	1144	0.5%	No
GPAA1		8q24.3	HOMDEL	2	1144	0.2%	No
ABHD16B		20q13.33	AMP	36	1144	3.1%	No
ADCY1		7p12.3	AMP	22	1144	1.9%	No
KRTAP9-2		17q21.2	AMP	7	1144	0.6%	No
TMEM272		13q14.3	HOMDEL	6	1144	0.5%	No
HDAC9		7p21.1	AMP	30	1144	2.6%	No
SNORD114-11		14q32.31	HOMDEL	4	1144	0.3%	No
FAM110D		1p36.11	HOMDEL	4	1144	0.3%	No
LOXHD1		18q21.1	AMP	11	1144	1.0%	No
C8ORF48		8p22	HOMDEL	46	1144	4.0%	No
ABCC2		10q24.2	AMP	1	1144	<0.1%	No
CAMK1		3p25.3	AMP	3	1144	0.3%	No
API5		11p12	AMP	9	1144	0.8%	No
ATP5PD		17q25.1	AMP	22	1144	1.9%	No
ATRAID		2p23.3	AMP	8	1144	0.7%	No
LINC01555		1p22.3	AMP	7	1144	0.6%	No
NPR2		9p13.3	HOMDEL	2	1144	0.2%	No
LINC02902		7p12.3	HOMDEL	4	1144	0.3%	No
PROS1		3q11.1	HOMDEL	4	1144	0.3%	No
PATE3		11q24.2	HOMDEL	10	1144	0.9%	No
GPRASP1		Xq22.1	AMP	9	1144	0.8%	No
ADCY2		5p15.31	AMP	137	1144	12.0%	No
SLX4IP		20p12.2	HOMDEL	5	1144	0.4%	No
PCNA		20p12.3	HOMDEL	4	1144	0.3%	No
AKAP11		13q14.11	HOMDEL	6	1144	0.5%	No
LTB4R		14q12	AMP	15	1144	1.3%	No
ELN		7q11.23	HOMDEL	2	1144	0.2%	Yes
MRPS17		7p11.2	AMP	54	1144	4.7%	No
GSTCD		4q24	HOMDEL	1	1144	<0.1%	No
FLOT1		6p21.33	AMP	15	1144	1.3%	No
UBE2E3		2q31.3	AMP	14	1144	1.2%	No
USP34		2p15	AMP	31	1144	2.7%	No
LCN2		9q34.11	HOMDEL	4	1144	0.3%	No
SNORD116-4		15q11.2	HOMDEL	23	1144	2.0%	No
ADCY3		2p23.3	AMP	5	1144	0.4%	No
KRTAP3-2		17q21.2	AMP	9	1144	0.8%	No
OR56A1		11p15.4	HOMDEL	4	1144	0.3%	No
CTSG		14q12	HOMDEL	3	1144	0.3%	No
TOPORS		9p21.1	AMP	24	1144	2.1%	No
AQP7		9p13.3	HOMDEL	1	1144	<0.1%	No
BARX2		11q24.3	AMP	6	1144	0.5%	No
ASAP2		2p25.1	HOMDEL	1	1144	<0.1%	No
TRABD2A		2p11.2	AMP	6	1144	0.5%	No
ATP6V1FNB		7q32.1	AMP	7	1144	0.6%	No
PRG4		1q31.1	AMP	43	1144	3.8%	No
LACTB2		8q13.3	AMP	34	1144	3.0%	No
ZNF408		11p11.2	HOMDEL	1	1144	<0.1%	No
C11ORF68		11q13.1	AMP	4	1144	0.3%	No
PLOD1		1p36.22	HOMDEL	3	1144	0.3%	No
ZNF772		19q13.43	HOMDEL	3	1144	0.3%	No
CYC1		8q24.3	HOMDEL	2	1144	0.2%	No
GUSBP4		6p11.2	HOMDEL	1	1144	<0.1%	No
RNF113B		13q32.2	HOMDEL	5	1144	0.4%	No
SETD1A		16p11.2	AMP	12	1144	1.0%	Yes
TMEM132A		11q12.2	AMP	3	1144	0.3%	No
DET1		15q26.1	AMP	11	1144	1.0%	No
SLC39A14		8p21.3	HOMDEL	47	1144	4.1%	No
TMEM201		1p36.22	AMP	3	1144	0.3%	No
CTDSPL		3p22.2	AMP	1	1144	<0.1%	No
ZNF461		19q13.13	AMP	53	1144	4.6%	No
ZMIZ2		7p13	AMP	20	1144	1.7%	No
LINC00261		20p11.21	HOMDEL	4	1144	0.3%	No
SNX7		1p21.3	AMP	6	1144	0.5%	No
HABP4		9q22.32	HOMDEL	6	1144	0.5%	No
KIDINS220		2p25.1	HOMDEL	1	1144	<0.1%	No
NKX6-3		8p11.21	AMP	69	1144	6.0%	No
GSC		14q32.13	HOMDEL	4	1144	0.3%	No
CCP110		16p12.3	AMP	4	1144	0.3%	No
PTOV1-AS1		19q13.33	AMP	3	1144	0.3%	No
BANP		16q24.2	AMP	2	1144	0.2%	No
VWA5B1		1p36.12	AMP	2	1144	0.2%	No
NEUROG1		5q31.1	HOMDEL	7	1144	0.6%	No
PCYT1B		Xp22.11	HOMDEL	11	1144	1.0%	No
SGPL1		10q22.1	HOMDEL	4	1144	0.3%	No
MCHR2-AS1		6q16.2-q16.3	HOMDEL	5	1144	0.4%	No
TRIM52		5q35.3	HOMDEL	12	1144	1.0%	No
SNORA70E		11q	HOMDEL	2	1144	0.2%	No
CMKLR1		12q23.3	AMP	2	1144	0.2%	No
ADTRP		6p24.1	AMP	12	1144	1.0%	No
ANGPT4		20p13	AMP	11	1144	1.0%	No
DMXL1		5q23.1	HOMDEL	9	1144	0.8%	No
C19ORF12		19q12	AMP	52	1144	4.5%	No
SSX3		Xp11.23	AMP	12	1144	1.0%	No
SEC61G		7p11.2	HOMDEL	5	1144	0.4%	No
TRAPPC12		2p25.3	AMP	10	1144	0.9%	No
FGF1		5q31.3	HOMDEL	5	1144	0.4%	No
ZNF365		10q21.2	HOMDEL	5	1144	0.4%	No
SLC25A5-AS1		Xq24	HOMDEL	1	1144	<0.1%	No
ADH1A		4q23	HOMDEL	1	1144	<0.1%	No
ZNF251		8q24.3	AMP	60	1144	5.2%	No
SMC6		2p24.2	HOMDEL	2	1144	0.2%	No
TRIP10		19p13.3	HOMDEL	3	1144	0.3%	No
UAP1L1		9q34.3	HOMDEL	4	1144	0.3%	No
ZNF550		19q13.43	HOMDEL	4	1144	0.3%	No
TTC12		11q23.2	AMP	2	1144	0.2%	No
PLPP3		1p32.2	HOMDEL	2	1144	0.2%	No
ZMYM4		1p34.3	HOMDEL	1	1144	<0.1%	No
ACTG1P20		1p36.11	HOMDEL	4	1144	0.3%	No
UCHL5		1q31.2	AMP	33	1144	2.9%	No
ZNF585B		19q13.12	AMP	49	1144	4.3%	No
OLIG2		21q22.11	AMP	4	1144	0.3%	Yes
LINC01020		5p15.32	AMP	137	1144	12.0%	No
DDX12P		12p13.31	AMP	16	1144	1.4%	No
CKMT2-AS1		5q14.1	AMP	2	1144	0.2%	No
NBR2		17q21.31	HOMDEL	2	1144	0.2%	No
KMT5B		11q13.2	AMP	19	1144	1.7%	No
BDP1		5q13.2	HOMDEL	8	1144	0.7%	No
MYO1D		17q11.2	HOMDEL	1	1144	<0.1%	No
RPS6KA6		Xq21.1	HOMDEL	4	1144	0.3%	No
RFX6		6q22.1	HOMDEL	6	1144	0.5%	No
CEMP1		16p13.3	AMP	4	1144	0.3%	No
SPAG16-DT		2q34	HOMDEL	7	1144	0.6%	No
ANKRD36BP1		1q24.2	AMP	62	1144	5.4%	No
LINC00989		4q21.21	AMP	4	1144	0.3%	No
UBXN10		1p36.12	AMP	2	1144	0.2%	No
LINC02171		4p16.3	AMP	4	1144	0.3%	No
GLB1L		2q35	HOMDEL	4	1144	0.3%	No
LINC00661		19p13.12	AMP	7	1144	0.6%	No
ITIH5		10p14	HOMDEL	7	1144	0.6%	No
PPP1R3C		10q23.32	HOMDEL	5	1144	0.4%	No
LRRC74A		14q24.3	HOMDEL	4	1144	0.3%	No
HDX		Xq21.1	HOMDEL	4	1144	0.3%	No
ADCY10P1		6p21.1	HOMDEL	1	1144	<0.1%	No
INPPL1		11q13.4	AMP	23	1144	2.0%	Yes
PAX8-AS1		2q14.1	AMP	9	1144	0.8%	No
DGCR2		22q11.21	AMP	17	1144	1.5%	No
SECTM1		17q25.3	AMP	20	1144	1.7%	No
MED27		9q34.13	HOMDEL	5	1144	0.4%	No
RPL8		8q24.3	AMP	60	1144	5.2%	No
OXA1L		14q11.2	HOMDEL	2	1144	0.2%	No
PRDM10-DT		11q24.3	AMP	6	1144	0.5%	No
USPL1		13q12.3	AMP	3	1144	0.3%	No
ZNF532		18q21.32	HOMDEL	15	1144	1.3%	No
LAMB4		7q31.1	HOMDEL	3	1144	0.3%	No
SNORD113-2		14q32.31	HOMDEL	4	1144	0.3%	No
NHLRC1		6p22.3	HOMDEL	2	1144	0.2%	No
ZBTB25		14q23.3	AMP	4	1144	0.3%	No
TRAPPC2		Xp22.2	AMP	4	1144	0.3%	No
INPP5D		2q37.1	AMP	3	1144	0.3%	Yes
RPL9		4p14	AMP	8	1144	0.7%	No
KCNE2		21q22.11	AMP	5	1144	0.4%	No
USP15		12q14.1	HOMDEL	1	1144	<0.1%	No
MARVELD2		5q13.2	HOMDEL	9	1144	0.8%	No
E2F2		1p36.12	HOMDEL	3	1144	0.3%	No
MEF2B		19p13.11	AMP	6	1144	0.5%	Yes
HCG23		6p21.32	AMP	12	1144	1.0%	No
C1ORF94		1p35.1	HOMDEL	1	1144	<0.1%	No
EIF1		17q21.2	AMP	4	1144	0.3%	No
TBC1D32		6q22.31	HOMDEL	3	1144	0.3%	No
PAQR7		1p36.11	AMP	5	1144	0.4%	No
MINPP1		10q23.2	HOMDEL	11	1144	1.0%	No
CAVIN3		11p15.4	HOMDEL	4	1144	0.3%	No
ZNF45		19q13.31	AMP	19	1144	1.7%	No
SNORD100		6q23.2	HOMDEL	2	1144	0.2%	No
NME4		16p13.3	AMP	5	1144	0.4%	No
CCDC198		14q22.3	HOMDEL	2	1144	0.2%	No
UFSP2		4q35.1	HOMDEL	38	1144	3.3%	No
SPDYE3		7q22.1	AMP	34	1144	3.0%	No
PLD5		1q43	AMP	48	1144	4.2%	No
RPL10		Xq28	AMP	31	1144	2.7%	Yes
MLX		17q21.2	HOMDEL	2	1144	0.2%	No
UBE2L3		22q11.21	AMP	17	1144	1.5%	No
ECE2		3q27.1	HOMDEL	3	1144	0.3%	No
ZNF630		Xp11.23	HOMDEL	8	1144	0.7%	No
UACA		15q23	HOMDEL	2	1144	0.2%	No
OR2T33		1q44	HOMDEL	2	1144	0.2%	No
MAPK1IP1L		14q22.3	AMP	8	1144	0.7%	No
OTOAP1		16p12.2	HOMDEL	1	1144	<0.1%	No
MTHFD1		14q23.3	HOMDEL	4	1144	0.3%	No
NME3		16p13.3	AMP	6	1144	0.5%	No
YBX3		12p13.2	AMP	16	1144	1.4%	No
LGALS7B		19q13.2	AMP	52	1144	4.5%	No
C5ORF52		5q33.3	AMP	4	1144	0.3%	No
THAP7-AS1		22q11.21	AMP	17	1144	1.5%	No
PDE2A		11q13.4	HOMDEL	4	1144	0.3%	No
ICA1L		2q33.2	AMP	15	1144	1.3%	No
PATJ		1p31.3	AMP	10	1144	0.9%	No
VWA8-AS1		13q14.11	AMP	1	1144	<0.1%	No
AFF3		2q11.2	AMP	13	1144	1.1%	Yes
RPL11		1p36.11	AMP	3	1144	0.3%	No
INPP5B		1p34.3	AMP	11	1144	1.0%	No
NME2		17q21.33	AMP	7	1144	0.6%	No
TMEM132E-DT		17q12	HOMDEL	3	1144	0.3%	No
CASP8AP2		6q15	AMP	4	1144	0.3%	No
IQSEC3		12p13.33	AMP	34	1144	3.0%	No
SNORA80B		2p25.1	HOMDEL	1	1144	<0.1%	No
USP36		17q25.3	HOMDEL	2	1144	0.2%	No
LOC100289561		7q22.1	HOMDEL	2	1144	0.2%	No
CST7		20p11.21	AMP	12	1144	1.0%	No
TUBA3E		2q21.1	HOMDEL	1	1144	<0.1%	No
MROH8		20q11.23	HOMDEL	1	1144	<0.1%	No
SCEL		13q22.3	AMP	4	1144	0.3%	No
GLIS3-AS1		9p24.2	HOMDEL	30	1144	2.6%	No
ESR2		14q23.2-q23.3	HOMDEL	4	1144	0.3%	No
LCA5		6q14.1	AMP	7	1144	0.6%	No
LINC01096		4p15.33	AMP	4	1144	0.3%	No
EDN1		6p24.1	HOMDEL	1	1144	<0.1%	No
RPL12		9q33.3	AMP	3	1144	0.3%	No
NME1		17q21.33	AMP	7	1144	0.6%	No
SKP1P2		12p12.3	HOMDEL	8	1144	0.7%	No
LAD1		1q32.1	AMP	37	1144	3.2%	No
QSOX2		9q34.3	HOMDEL	4	1144	0.3%	No
FCN2		9q34.3	HOMDEL	4	1144	0.3%	No
ERVV-2		19q13.41	AMP	7	1144	0.6%	No
UBE2N		12q22	AMP	1	1144	<0.1%	No
SCO2		22q13.33	AMP	5	1144	0.4%	No
CEP104		1p36.32	AMP	10	1144	0.9%	No
ASB6		9q34.11	HOMDEL	4	1144	0.3%	No
MGAM		7q34	HOMDEL	1	1144	<0.1%	Yes
TADA1		1q24.1	HOMDEL	1	1144	<0.1%	No
DMBT1L1		10q26.13	AMP	3	1144	0.3%	No
MTR		1q43	HOMDEL	1	1144	<0.1%	No
INPP5A		10q26.3	AMP	4	1144	0.3%	No
COPS3		17p11.2	AMP	4	1144	0.3%	No
MYO1G		7p13	HOMDEL	3	1144	0.3%	No
PEX11B		1q21.1	AMP	40	1144	3.5%	No
RPL13		16q24.3	AMP	1	1144	<0.1%	No
CCR7		17q21.2	AMP	16	1144	1.4%	No
L1CAM		Xq28	AMP	33	1144	2.9%	No
ZNF821		16q22.2	HOMDEL	7	1144	0.6%	No
NAGA		22q13.2	HOMDEL	2	1144	0.2%	No
TGFBI		5q31.1	HOMDEL	7	1144	0.6%	No
TENT5C		1p12	HOMDEL	21	1144	1.8%	Yes
UBE2V1		20q13.13	AMP	18	1144	1.6%	No
SFT2D3		2q14.3	AMP	4	1144	0.3%	No
CPZ		4p16.1	AMP	5	1144	0.4%	No
INPP4A		2q11.2	AMP	12	1144	1.0%	Yes
ZKSCAN5		7q22.1	AMP	34	1144	3.0%	No
DYRK4		12p13.32	AMP	23	1144	2.0%	No
LINC00575		4q21.22	AMP	1	1144	<0.1%	No
ARHGEF16		1p36.32	HOMDEL	4	1144	0.3%	No
PMS1		2q32.2	HOMDEL	1	1144	<0.1%	Yes
AKAP4		Xp11.22	HOMDEL	9	1144	0.8%	No
DCC		18q21.2	HOMDEL	13	1144	1.1%	No
SART3		12q23.3	AMP	2	1144	0.2%	No
GJA1		6q22.31	AMP	5	1144	0.4%	No
FAM66C		12p13.31	AMP	18	1144	1.6%	No
SERF1B		5q13.2	HOMDEL	8	1144	0.7%	No
HCG25		6p21.32	AMP	9	1144	0.8%	No
UBE2V2		8q11.21	AMP	31	1144	2.7%	No
TUSC2		3p21.31	HOMDEL	6	1144	0.5%	No
KCNU1		8p11.23	AMP	46	1144	4.0%	No
ZNF883		9q32	HOMDEL	3	1144	0.3%	No
NAV3		12q21.2	HOMDEL	2	1144	0.2%	No
CITED4		1p34.2	AMP	18	1144	1.6%	No
TPD52L2		20q13.33	HOMDEL	1	1144	<0.1%	No
INS		11p15.5	AMP	1	1144	<0.1%	No
CCR4		3p22.3	AMP	1	1144	<0.1%	No
CBX4		17q25.3	AMP	24	1144	2.1%	No
MANSC4		12p11.22	HOMDEL	2	1144	0.2%	No
LINC00518		6p24.3	HOMDEL	1	1144	<0.1%	No
SPDYE2		7q22.1	AMP	25	1144	2.2%	No
RPL17		18q21.1	AMP	5	1144	0.4%	No
ATP1B3		3q23	HOMDEL	2	1144	0.2%	No
EDA		Xq13.1	HOMDEL	8	1144	0.7%	No
PRRC1		5q23.2	AMP	1	1144	<0.1%	No
DOCK4		7q31.1	AMP	12	1144	1.0%	No
CNOT6		5q35.3	HOMDEL	11	1144	1.0%	No
ZNF705A		12p13.31	AMP	18	1144	1.6%	No
LGALS16		19q13.2	HOMDEL	1	1144	<0.1%	No
ARMC3		10p12.2	AMP	6	1144	0.5%	No
UBE3A		15q11.2	AMP	4	1144	0.3%	No
SNORD114-10		14q32.31	HOMDEL	4	1144	0.3%	No
KTN1		14q22.1	AMP	6	1144	0.5%	Yes
CSAD		12q13.13	AMP	7	1144	0.6%	No
